2026-07-28 18:08:51,268 | INFO | Advanced NLP processing started
2026-07-28 18:08:56,441 | INFO | Loaded dataset (38580, 10)
2026-07-28 21:06:29,401 | INFO | Advanced NLP completed successfully
2026-07-29 00:24:12,431 | INFO | Advanced NLP processing started
2026-07-29 00:24:17,353 | INFO | Loaded dataset (38580, 10)
2026-07-29 01:50:00,402 | INFO | Advanced NLP completed successfully
2026-08-13 18:47:02,540 | INFO | Advanced NLP processing started
2026-08-13 18:47:02,541 | WARNING | Downloading spaCy model
2026-08-13 18:49:44,258 | INFO | Advanced NLP processing started
2026-08-13 18:49:44,259 | WARNING | Downloading spaCy model
2026-08-13 18:52:00,291 | INFO | Loaded dataset (38580, 10)
